timestamp_ms,frame,subframe,rnti,direction,nb_rb,rb_util,mcs,tbs_bytes,sdu_bytes,cqi,retx,hol_delay_ms,avg_thr_kbps,mlwdf_score,qos_alpha,cqi_profile,harq_pid
4233,423,3,68b4,DL,2,8.00,0,4,2,15,0,1,613.82,5.80,5.0000,0,1
4237,423,7,68b4,DL,2,8.00,7,28,24,15,0,1,617.69,5.76,5.0000,0,5
4253,425,3,68b4,DL,2,8.00,0,4,2,15,0,1,631.70,5.64,5.0000,0,5
4264,426,4,68b4,DL,2,8.00,3,13,10,15,0,1,640.10,5.56,5.0000,0,0
4280,428,0,68b4,DL,2,8.00,0,4,2,15,0,1,650.78,5.47,5.0000,0,0
4281,428,1,68b4,DL,2,8.00,5,18,17,15,0,1,651.39,5.47,5.0000,0,1
4303,430,3,68b4,DL,2,8.00,0,4,2,15,0,1,663.42,5.37,5.0000,0,7
4304,430,4,68b4,DL,4,16.00,16,153,151,15,0,1,663.90,5.36,5.0000,0,0
4323,432,3,68b4,DL,2,8.00,0,4,2,15,0,1,672.26,5.30,5.0000,0,3
4333,433,3,68b4,DL,2,8.00,1,7,4,15,0,1,676.06,5.27,5.0000,0,5
4337,433,7,68b4,DL,2,8.00,11,41,37,15,0,1,677.48,5.25,5.0000,0,1
4368,436,8,68b4,DL,2,8.00,1,7,4,15,0,1,666.59,5.34,5.0000,0,0
4394,439,4,68b4,DL,2,8.00,0,4,2,15,0,1,645.40,5.52,5.0000,0,2
1143,114,3,68b4,DL,2,8.00,0,4,2,15,0,1,568.73,6.26,5.0000,0,7
4332,433,2,4a4b,DL,2,8.00,0,4,2,15,0,1,140.41,6.09,1.2000,0,4
5262,526,2,4da5,DL,4,16.00,0,11,2,0,0,1,770.04,0.02,0.5000,2,6
5273,527,3,4da5,DL,14,56.00,0,47,44,0,0,1,689.45,0.02,0.5000,2,1
5274,527,4,4da5,DL,2,8.00,0,4,0,0,0,1,682.55,0.02,0.5000,2,2
5275,527,5,4da5,DL,2,8.00,0,4,0,0,0,1,675.73,0.02,0.5000,2,3
5276,527,6,4da5,DL,2,8.00,0,4,0,0,0,1,668.97,0.02,0.5000,2,4
5277,527,7,4da5,DL,2,8.00,0,4,0,0,0,1,662.28,0.02,0.5000,2,5
5278,527,8,4da5,DL,2,8.00,0,4,0,0,0,1,655.66,0.03,0.5000,2,6
5279,527,9,4da5,DL,2,8.00,0,4,0,0,0,1,649.10,0.03,0.5000,2,7
5280,528,0,4da5,DL,2,8.00,0,4,0,0,0,1,642.61,0.03,0.5000,2,0
5281,528,1,4da5,DL,2,8.00,0,4,0,0,0,1,636.19,0.03,0.5000,2,1
5282,528,2,4da5,DL,2,8.00,0,4,0,0,0,1,629.82,0.03,0.5000,2,2
5283,528,3,4da5,DL,2,8.00,0,4,0,0,0,1,623.53,0.03,0.5000,2,3
5284,528,4,4da5,DL,2,8.00,0,4,0,0,0,1,617.29,0.03,0.5000,2,4
5285,528,5,4da5,DL,2,8.00,0,4,0,0,0,1,611.12,0.03,0.5000,2,5
5286,528,6,4da5,DL,2,8.00,0,4,0,0,0,1,605.01,0.03,0.5000,2,6
