timestamp_ms,frame,subframe,rnti,direction,nb_rb,mcs,tbs_bytes,cqi,retx,hol_delay_ms,avg_thr_kbps,mlwdf_score
7237,723,7,1a69,DL,18,28,1692,15,0,16,712.00,24.00
7528,752,8,7e22,DL,18,28,1692,15,0,16,712.00,24.00
7642,764,2,1a69,DL,18,28,1692,15,0,16,712.00,24.00
7944,794,4,7e22,DL,18,28,1692,15,0,16,712.00,24.00
8053,805,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
8348,834,8,7e22,DL,18,28,1692,15,0,16,712.00,24.00
8447,844,7,1a69,DL,18,28,1692,15,0,16,712.00,24.00
8736,873,6,7e22,DL,18,28,1692,15,0,16,712.00,24.00
8840,884,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
9121,912,1,7e22,DL,18,28,1692,15,0,16,712.00,24.00
9228,922,8,1a69,DL,18,28,1692,15,0,16,712.00,24.00
9515,951,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
9542,954,2,7e22,DL,2,0,4,15,0,1,712.00,1.50
9620,962,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
9909,990,9,7e22,DL,18,28,1692,15,0,16,712.00,24.00
10014,1001,4,1a69,DL,18,28,1692,15,0,16,712.00,24.00
58,5,8,7e22,DL,18,28,1692,15,0,16,712.00,24.00
169,16,9,1a69,DL,18,28,1692,15,0,16,712.00,24.00
457,45,7,7e22,DL,18,28,1692,15,0,16,712.00,24.00
561,56,1,1a69,DL,18,28,1692,15,0,16,712.00,24.00
865,86,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
973,97,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1267,126,7,7e22,DL,18,28,1692,15,0,16,712.00,24.00
1378,137,8,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1626,162,6,7e22,DL,18,28,1692,15,0,16,712.00,24.00
1706,170,6,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1948,194,8,7e22,DL,18,28,1692,15,0,16,712.00,24.00
2041,204,1,1a69,DL,18,28,1692,15,0,1,712.00,1.50
2283,228,3,7e22,DL,18,28,1692,15,0,16,712.00,24.00
2377,237,7,1a69,DL,18,28,1692,15,0,16,712.00,24.00
2610,261,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
2700,270,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
2952,295,2,7e22,DL,18,28,1692,15,0,16,712.00,24.00
3040,304,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
3294,329,4,7e22,DL,18,28,1692,15,0,16,712.00,24.00
3371,337,1,1a69,DL,18,28,1692,15,0,16,712.00,24.00
3590,359,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
3670,367,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
3906,390,6,7e22,DL,18,28,1692,15,0,16,712.00,24.00
3995,399,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
4239,423,9,7e22,DL,18,28,1692,15,0,16,712.00,24.00
4333,433,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
4584,458,4,7e22,DL,18,28,1692,15,0,16,712.00,24.00
4684,468,4,1a69,DL,18,28,1692,15,0,16,712.00,24.00
4972,497,2,7e22,DL,18,28,1692,15,0,16,712.00,24.00
5082,508,2,1a69,DL,18,28,1692,15,0,16,712.00,24.00
5362,536,2,7e22,DL,18,28,1692,15,0,16,712.00,24.00
5476,547,6,1a69,DL,18,28,1692,15,0,16,712.00,24.00
5790,579,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
5905,590,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
6221,622,1,7e22,DL,18,28,1692,15,0,16,712.00,24.00
6335,633,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
6642,664,2,7e22,DL,18,28,1692,15,0,16,712.00,24.00
6763,676,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
7061,706,1,7e22,DL,18,28,1692,15,0,16,712.00,24.00
7173,717,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
7478,747,8,7e22,DL,18,28,1692,15,0,16,712.00,24.00
7597,759,7,1a69,DL,18,28,1692,15,0,16,712.00,24.00
7902,790,2,7e22,DL,18,28,1692,15,0,16,712.00,24.00
8018,801,8,1a69,DL,18,28,1692,15,0,16,712.00,24.00
8331,833,1,7e22,DL,18,28,1692,15,0,16,712.00,24.00
8452,845,2,1a69,DL,18,28,1692,15,0,16,712.00,24.00
8754,875,4,7e22,DL,18,28,1692,15,0,16,712.00,24.00
8866,886,6,1a69,DL,18,28,1692,15,0,16,712.00,24.00
9183,918,3,7e22,DL,18,28,1692,15,0,16,712.00,24.00
9300,930,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
9627,962,7,7e22,DL,18,28,1692,15,0,16,712.00,24.00
9743,974,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
10034,1003,4,7e22,DL,18,28,1692,15,0,16,712.00,24.00
10144,1014,4,1a69,DL,18,28,1692,15,0,16,712.00,24.00
204,20,4,7e22,DL,18,28,1692,15,0,16,712.00,24.00
311,31,1,1a69,DL,18,28,1692,15,0,16,712.00,24.00
615,61,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
721,72,1,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1027,102,7,7e22,DL,18,28,1692,15,0,16,712.00,24.00
1145,114,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1458,145,8,7e22,DL,18,28,1692,15,0,16,712.00,24.00
1574,157,4,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1880,188,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
2000,200,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
2315,231,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
2433,243,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
2751,275,1,7e22,DL,18,28,1692,15,0,16,712.00,24.00
2871,287,1,1a69,DL,18,28,1692,15,0,16,712.00,24.00
3184,318,4,7e22,DL,18,28,1692,15,0,16,712.00,24.00
3307,330,7,1a69,DL,18,28,1692,15,0,16,712.00,24.00
3620,362,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
3735,373,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
4051,405,1,7e22,DL,18,28,1692,15,0,16,712.00,24.00
4168,416,8,1a69,DL,18,28,1692,15,0,16,712.00,24.00
4485,448,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
4607,460,7,1a69,DL,18,28,1692,15,0,16,712.00,24.00
4926,492,6,7e22,DL,18,28,1692,15,0,16,712.00,24.00
5045,504,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
5353,535,3,7e22,DL,18,28,1692,15,0,16,712.00,24.00
5472,547,2,1a69,DL,18,28,1692,15,0,16,712.00,24.00
5787,578,7,7e22,DL,18,28,1692,15,0,16,712.00,24.00
5906,590,6,1a69,DL,18,28,1692,15,0,16,712.00,24.00
6223,622,3,7e22,DL,18,28,1692,15,0,16,712.00,24.00
6337,633,7,1a69,DL,18,28,1692,15,0,16,712.00,24.00
6647,664,7,7e22,DL,18,28,1692,15,0,16,712.00,24.00
6764,676,4,1a69,DL,18,28,1692,15,0,16,712.00,24.00
7065,706,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
7183,718,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
7492,749,2,7e22,DL,18,28,1692,15,0,16,712.00,24.00
7603,760,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
7915,791,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
8029,802,9,1a69,DL,18,28,1692,15,0,16,712.00,24.00
8332,833,2,7e22,DL,18,28,1692,15,0,16,712.00,24.00
8453,845,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
8765,876,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
8881,888,1,1a69,DL,18,28,1692,15,0,16,712.00,24.00
9179,917,9,7e22,DL,18,28,1692,15,0,16,712.00,24.00
9290,929,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
