timestamp_ms,frame,subframe,rnti,direction,nb_rb,rb_util(%),mcs,tbs_bytes,sdu_bytes,cqi,retx,harq_pid
9546,954,6,d8ce,UL,3,10,63,0,0
9554,955,4,d8ce,UL,3,3,22,60,0
9581,958,1,d8ce,UL,3,10,63,63,0
9584,958,4,d8ce,UL,3,10,63,63,0
9604,960,4,d8ce,UL,3,10,63,60,0
9631,963,1,d8ce,UL,3,10,63,60,0
9644,964,4,d8ce,UL,3,10,63,60,0
9664,966,4,d8ce,UL,3,10,63,60,0
9684,968,4,d8ce,UL,3,10,63,60,0
9692,969,2,d8ce,UL,3,3,22,60,0
9694,969,4,d8ce,UL,3,10,63,60,0
9721,972,1,d8ce,UL,3,10,63,60,0
9724,972,4,d8ce,UL,3,10,63,60,0
9744,974,4,d8ce,UL,3,10,63,60,0
9771,977,1,d8ce,UL,3,10,63,60,0
9798,979,8,d8ce,UL,3,10,63,60,0
9825,982,5,d8ce,UL,3,10,63,60,0
9852,985,2,d8ce,UL,3,10,63,60,0
9879,987,9,d8ce,UL,3,10,63,60,0
9906,990,6,d8ce,UL,3,10,63,60,0
9933,993,3,d8ce,UL,3,10,63,60,0
9960,996,0,d8ce,UL,3,10,63,60,0
9987,998,7,d8ce,UL,3,10,63,60,0
10014,1001,4,d8ce,UL,3,10,63,60,0
10041,1004,1,d8ce,UL,3,10,63,60,0
10068,1006,8,d8ce,UL,3,10,63,60,0
10095,1009,5,d8ce,UL,3,10,63,60,0
10122,1012,2,d8ce,UL,3,10,63,60,0
10149,1014,9,d8ce,UL,3,10,63,60,0
10176,1017,6,d8ce,UL,3,10,63,60,0
10203,1020,3,d8ce,UL,3,10,63,60,0
10230,1023,0,d8ce,UL,3,10,63,60,0
18,1,8,d8ce,UL,3,10,63,60,0
45,4,5,d8ce,UL,3,10,63,60,0
72,7,2,d8ce,UL,3,10,63,60,0
99,9,9,d8ce,UL,3,10,63,60,0
126,12,6,d8ce,UL,3,10,63,60,0
153,15,3,d8ce,UL,3,10,63,60,0
180,18,0,d8ce,UL,3,10,63,60,0
207,20,7,d8ce,UL,3,10,63,60,0
234,23,4,d8ce,UL,3,10,63,60,0
261,26,1,d8ce,UL,3,10,63,60,0
288,28,8,d8ce,UL,3,10,63,60,0
315,31,5,d8ce,UL,3,10,63,60,0
342,34,2,d8ce,UL,3,10,63,60,0
369,36,9,d8ce,UL,3,10,63,60,0
396,39,6,d8ce,UL,3,10,63,60,0
423,42,3,d8ce,UL,3,10,63,60,0
450,45,0,d8ce,UL,3,10,63,60,0
478,47,8,d8ce,UL,3,10,63,60,0
505,50,5,d8ce,UL,3,10,63,60,0
532,53,2,d8ce,UL,3,10,63,60,0
559,55,9,d8ce,UL,3,10,63,60,0
586,58,6,d8ce,UL,3,10,63,60,0
613,61,3,d8ce,UL,3,10,63,60,0
640,64,0,d8ce,UL,3,10,63,60,0
667,66,7,d8ce,UL,3,10,63,60,0
694,69,4,d8ce,UL,3,10,63,60,0
721,72,1,d8ce,UL,3,10,63,60,0
748,74,8,d8ce,UL,3,10,63,60,0
775,77,5,d8ce,UL,3,10,63,60,0
802,80,2,d8ce,UL,3,10,63,60,0
829,82,9,d8ce,UL,3,10,63,60,0
856,85,6,d8ce,UL,3,10,63,60,0
883,88,3,d8ce,UL,3,10,63,60,0
910,91,0,d8ce,UL,3,10,63,60,0
938,93,8,d8ce,UL,3,10,63,60,0
965,96,5,d8ce,UL,3,10,63,60,0
992,99,2,d8ce,UL,3,10,63,60,0
1019,101,9,d8ce,UL,3,10,63,60,0
1046,104,6,d8ce,UL,3,10,63,60,0
1073,107,3,d8ce,UL,3,10,63,60,0
1100,110,0,d8ce,UL,3,10,63,60,0
1127,112,7,d8ce,UL,3,10,63,60,0
1154,115,4,d8ce,UL,3,10,63,60,0
1181,118,1,d8ce,UL,3,10,63,60,0
1208,120,8,d8ce,UL,3,10,63,60,0
1235,123,5,d8ce,UL,3,10,63,60,0
1262,126,2,d8ce,UL,3,10,63,60,0
1289,128,9,d8ce,UL,3,10,63,60,0
1316,131,6,d8ce,UL,3,10,63,60,0
1343,134,3,d8ce,UL,3,10,63,60,0
1370,137,0,d8ce,UL,3,10,63,60,0
1398,139,8,d8ce,UL,3,10,63,60,0
1425,142,5,d8ce,UL,3,10,63,60,0
1452,145,2,d8ce,UL,3,10,63,60,0
1479,147,9,d8ce,UL,3,10,63,60,0
1506,150,6,d8ce,UL,3,10,63,60,0
1533,153,3,d8ce,UL,3,10,63,60,0
1560,156,0,d8ce,UL,3,10,63,60,0
1587,158,7,d8ce,UL,3,10,63,60,0
1614,161,4,d8ce,UL,3,10,63,60,0
1641,164,1,d8ce,UL,3,10,63,60,0
1668,166,8,d8ce,UL,3,10,63,60,0
1695,169,5,d8ce,UL,3,10,63,60,0
1722,172,2,d8ce,UL,3,10,63,60,0
